position,adverbial indicator,NP-VP-NP,,score
0.2,0.0,0.5,0.9,0.637910856688219
0.3,0.1,0.9,0.1,0.6440714106331327
0.1,0.6,0.8,0.2,0.6596918874831614
0.3,0.6,0.8,0.9,0.643960737310047
0.9,0.9,0.5,0.7,0.616743475029038
0.1,0.8,0.3,0.0,0.5946702278103807
0.3,0.8,0.0,0.5,0.5920844782736471
0.1,0.5,0.0,0.4,0.6865728996801213
0.2,0.7,0.3,0.6,0.6008678631186665
0.5,0.2,0.5,0.8,0.6439607373100469
0.5,0.4,0.9,0.8,0.6439607373100468
0.3,0.5,0.7,0.2,0.6064733457571349
0.1,0.7,0.0,0.5,0.6214304783731612
0.6,0.9,0.0,0.6,0.620772485669056
0.7,0.3,0.3,0.0,0.6208831589921416
